Response ID,RespondantKey,Date Started,Date Finished,Status,Linked From,Comments,Country,Region,City,,econ_1949,econ_1953,econ_1957,econ_1961,econ_1965,econ_1969,econ_1973,econ_1977,econ_1981,econ_1985,econ_1989,econ_1993,econ_1997,econ_2001,econ_2005,econ_2009,econ_2013,econ_2017,econ_2021,econ_2025,econ_2029,econ_2033,econ_2037,econ_2041,econ_2045,Term 1,Term 2,Term 3,Term 4,pink,red,green,black,blue,,,
76030018,0,3/31/2010 11:11,3/31/2010 11:29,Saved,,,United States,Massachusetts,Cambridge,1022_terms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76030491,0,3/31/2010 11:12,3/31/2010 11:21,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,Portugal,Porto,Porto,1022_terms,3,2,3,2,2,3,3,3,3,3,4,3,2,3,4,3,4,4,3,4,3,2,1,1,3,24,24,24,28,,,,,blue,8,,76030491
76031261,0,3/31/2010 11:14,3/31/2010 11:20,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Florida,Gainesville,1022_terms,3,2,3,2,3,3,3,3,3,3,4,3,3,3,4,3,4,1,4,3,3,2,1,1,3,25,27,28,20,,,green,black,,16,,76031261
76031483,0,3/31/2010 11:14,3/31/2010 11:20,Submitted,,,United States,California,San Diego,1022_terms,4,2,3,2,3,3,3,4,4,3,4,4,3,3,4,3,4,3,4,4,3,3,2,2,3,25,25,25,25,,red,,,,8,,76031483
76031894,0,3/31/2010 11:15,3/31/2010 11:27,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Pennsylvania,Williamsport,1022_terms,4,2,3,4,3,4,3,4,2,4,4,3,3,3,4,4,4,3,3,4,3,2,2,1,3,20,20,30,30,,,green,black,,16,Interesting study.,76031894
76032194,0,3/31/2010 11:16,3/31/2010 11:29,Saved,,,United States,Illinois,Rolling Meadows,1022_terms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76035250,0,3/31/2010 11:24,3/31/2010 11:40,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,North Carolina,Asheboro,1022_terms,3,2,3,4,2,4,3,4,1,3,3,3,3,3,4,3,3,2,3,1,3,2,1,2,3,25,25,25,25,,,green,black,,16,,76035250
76035543,0,3/31/2010 11:24,3/31/2010 11:34,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Wisconsin,Milwaukee,1022_terms,2,1,3,2,2,3,3,3,3,3,3,3,3,3,4,3,3,2,3,2,3,1,1,2,2,20,30,30,20,,,green,black,,16,,76035543
76036529,0,3/31/2010 11:27,3/31/2010 11:34,Submitted,,,United States,Indiana,Geneva,1022_terms,4,1,2,4,3,3,3,4,1,4,3,4,4,4,4,3,4,3,3,2,3,3,1,2,4,25,25,25,25,,,green,black,,16,,76036529
76037713,0,3/31/2010 11:29,3/31/2010 11:45,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Georgia,Marietta,1022_terms,3,1,2,4,2,4,3,3,2,3,3,4,3,3,4,2,3,2,3,1,3,2,2,2,3,10,30,30,30,,,green,black,,16,,76037713
76037735,0,3/31/2010 11:29,3/31/2010 11:45,Submitted,,,United States,Massachusetts,Greenfield,1022_terms,4,3,4,3,3,3,3,2,3,4,4,4,3,3,4,3,4,2,4,1,3,2,1,3,3,20,25,25,30,,,green,black,,16,"Interesting survey, thank-you",76037735
76038100,0,3/31/2010 11:30,3/31/2010 11:39,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,California,Long Beach,1022_terms,3,1,4,3,2,3,1,3,3,3,3,3,3,2,4,2,3,2,3,2,3,1,1,1,3,10,20,15,25,,,green,black,,4,,76038100
76038628,0,3/31/2010 11:32,3/31/2010 11:41,Saved,,,United States,Michigan,Three Rivers,1022_terms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76040279,0,3/31/2010 11:35,3/31/2010 11:48,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Wyoming,Casper,1022_terms,3,1,3,3,3,3,3,4,2,3,4,2,4,3,4,3,4,3,4,1,2,2,1,2,3,30,20,25,25,,,green,black,,16,,76040279
76041733,0,3/31/2010 11:39,3/31/2010 11:50,Saved,,,United States,Arizona,Fort Huachuca,1022_terms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76044515,0,3/31/2010 11:45,3/31/2010 11:57,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,Singapore,,Singapore,1022_terms,3,2,3,2,3,3,2,3,3,3,3,4,3,3,4,3,3,2,3,3,3,2,1,1,2,25,25,25,25,,,green,black,,4,,76044515
76044519,0,3/31/2010 11:45,3/31/2010 11:57,Saved,,,United States,North Carolina,Selma,1022_terms,4,2,3,3,3,4,4,4,3,4,4,4,3,3,4,4,3,1,4,4,3,3,1,4,3,25,25,25,25,,,green,black,,16,,
76051721,0,3/31/2010 12:01,3/31/2010 12:10,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Iowa,Cedar Rapids,1022_terms,3,2,3,3,3,3,2,4,4,3,3,4,3,2,4,4,4,3,4,3,3,2,1,1,3,20,10,20,50,,,green,black,,16,,76051721
76054755,0,3/31/2010 12:07,3/31/2010 12:21,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Georgia,Jonesboro,1022_terms,4,3,3,3,3,4,3,3,3,3,4,4,3,3,4,3,4,3,4,3,3,2,2,2,3,25,25,25,25,,,green,black,,16,I think that the choices could have included one more middle choice of say average.,76054755
76063102,0,3/31/2010 12:27,3/31/2010 12:35,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Utah,Midvale,1022_terms,3,2,3,2,3,3,3,3,3,3,3,4,3,3,4,3,3,2,4,4,2,2,2,2,3,5,20,35,40,,,,,blue,16,,76063102
76064674,0,3/31/2010 12:30,3/31/2010 12:39,Submitted,,,United States,Louisiana,Paincourtville,1022_terms,3,2,3,2,4,3,3,4,3,4,4,3,4,3,4,4,4,3,4,3,3,3,2,3,3,25,25,25,25,,,,,blue,4,none,76064674
76065950,0,3/31/2010 12:33,3/31/2010 12:38,Saved,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,Panama,,,1022_terms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76083204,0,3/31/2010 13:14,3/31/2010 13:23,Saved,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Tennessee,Franklin,1022_terms,,,,,,,3,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,
76098921,0,3/31/2010 13:48,3/31/2010 14:03,Submitted,,,United States,Washington,Renton,1022_terms,3,2,2,2,3,3,2,3,3,3,3,3,3,3,4,2,3,2,3,3,3,2,1,1,2,30,30,20,20,,,green,black,,16,,76098921
76114379,0,3/31/2010 14:21,3/31/2010 14:31,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Virginia,Radford,1022_terms,3,1,3,3,3,3,3,4,3,3,3,3,4,3,4,3,3,2,3,2,4,2,2,1,3,29,15,28,28,,,green,black,,16,,76114379
76118499,0,3/31/2010 14:29,3/31/2010 14:47,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Connecticut,Ridgefield,1022_terms,2,2,2,3,1,3,3,4,1,3,2,3,4,2,4,3,3,2,2,2,2,2,3,1,3,25,25,20,30,,,,,blue,16 years,,76118499
76141239,0,3/31/2010 15:14,3/31/2010 15:28,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Florida,Dania,1022_terms,3,2,3,3,2,3,2,3,3,3,4,3,3,3,4,3,3,3,4,3,3,2,2,2,3,30,20,20,30,,,green,black,,16,,76141239
76153689,0,3/31/2010 15:38,3/31/2010 15:54,Submitted,,,United States,Virginia,Blacksburg,1022_terms,3,2,2,3,3,2,2,3,3,3,3,2,3,3,4,2,4,2,3,2,3,2,1,2,3,10,20,30,40,,,green,black,,4,,76153689
76163461,0,3/31/2010 15:57,3/31/2010 16:10,Submitted,,,United States,Texas,Fort Worth,1022_terms,3,2,3,3,4,3,3,4,3,3,4,3,4,3,4,4,4,3,3,4,2,2,1,3,2,25,25,25,25,,,green,black,,4,,76163461
76173453,0,3/31/2010 16:20,3/31/2010 16:31,Saved,,,United States,Pennsylvania,Abington,1022_terms,,,,4,4,,,,,,,,,,,,,,,4,3,,,3,,,,,,,,,,,,,
76176542,0,3/31/2010 16:25,3/31/2010 16:49,Submitted,,,United States,California,Los Altos,1022_terms,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,3,3,4,25,25,25,25,,,green,black,,4,"I may have rated the first selection too high, but I thought all of the governors showed a total positive result for their terms, I thought they all did good or great.",76176542
76228404,0,3/31/2010 18:25,3/31/2010 18:33,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Virginia,Charlottesville,1022_terms,3,2,3,3,2,3,2,4,1,3,3,3,3,4,4,3,3,2,3,1,4,2,1,1,2,30,20,20,30,,,green,black,,4,no,76228404
76264933,0,3/31/2010 20:22,3/31/2010 20:33,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Alabama,Ozark,1022_terms,3,2,3,2,2,3,3,4,2,4,3,3,3,3,4,3,4,2,3,2,2,2,1,1,3,10,15,25,50,,,green,black,,16,,76264933
76266106,0,3/31/2010 20:26,3/31/2010 20:35,Submitted,,,United States,Virginia,Chesapeake,1022_terms,3,1,2,1,3,2,1,2,1,2,3,3,2,2,4,3,3,3,3,3,2,1,1,2,2,25,25,25,25,,,green,black,,4,,76266106
76294982,0,3/31/2010 22:13,3/31/2010 22:25,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,"Korea, Republic of",Soul-t'ukpyolsi,Seoul,1022_terms,3,2,3,2,3,3,2,3,3,3,3,3,3,3,4,3,4,3,4,4,2,2,2,2,3,25,25,25,25,,,green,black,,4,,76294982
76334128,0,4/1/2010 1:13,4/1/2010 1:29,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Washington,North Bend,1022_terms,3,2,2,2,3,3,2,3,3,3,3,3,3,2,4,2,3,2,3,3,2,1,1,1,2,25,25,25,25,,,green,black,,16,,76334128
76336001,0,4/1/2010 1:22,4/1/2010 1:34,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Washington,Seattle,1022_terms,3,2,2,3,4,3,2,4,3,3,4,3,3,2,4,4,3,3,4,4,3,2,2,2,3,25,25,25,25,,,green,black,,8,,76336001
76357839,0,4/1/2010 3:06,4/1/2010 3:15,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Illinois,Windsor,1022_terms,3,1,2,4,2,3,2,4,2,3,3,2,3,3,4,3,3,3,3,2,2,1,1,1,2,10,15,35,40,,,green,black,,4,,76357839
76455016,0,4/1/2010 9:25,4/1/2010 9:34,Submitted,,,United States,Kansas,Gardner,1022_terms,3,2,3,3,3,3,3,3,4,3,4,4,3,3,4,3,4,2,4,4,3,2,2,2,3,25,25,25,25,,,green,black,,4,,76455016
76539862,0,4/1/2010 12:28,4/1/2010 12:52,Saved,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Texas,Groves,1022_terms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76573455,0,4/1/2010 13:33,4/1/2010 13:40,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United Kingdom,Leeds,Leeds,1022_terms,3,2,3,2,2,3,3,3,3,3,4,3,3,3,4,3,4,2,3,4,3,2,1,1,3,25,25,25,25,,,green,black,,16,,76573455
76665958,0,4/1/2010 16:40,4/1/2010 16:53,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,Canada,Ontario,Newmarket,1022_terms,2,1,2,2,2,3,2,2,3,3,3,3,3,2,4,3,3,1,3,3,1,1,1,2,2,30,20,25,25,,red,,,,16,,76665958
76707709,0,4/1/2010 18:30,4/1/2010 18:39,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Nevada,Las Vegas,1022_terms,4,2,2,2,2,4,2,4,2,2,3,3,3,3,4,3,3,3,4,2,2,2,1,1,3,25,10,15,50,,,green,black,,8,no,76707709
76718332,0,4/1/2010 19:09,4/1/2010 19:24,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Ohio,Columbus,1022_terms,3,2,3,3,3,3,3,3,3,3,4,4,3,3,4,3,3,2,4,3,3,2,1,2,3,25,25,25,25,,,green,black,,16,,76718332
76745631,0,4/1/2010 21:05,4/1/2010 21:37,Saved,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,New York,Ithaca,1022_terms,3,2,3,2,2,3,2,4,2,3,4,3,3,3,4,3,3,2,4,2,3,2,2,1,3,10,15,35,40,,,green,black,,10,,
76763091,0,4/1/2010 22:29,4/1/2010 22:43,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Georgia,Athens,1022_terms,3,3,4,3,4,4,3,3,3,4,4,4,4,3,4,4,4,3,4,4,3,3,2,3,3,25,25,25,25,,,green,black,,16,,76763091
76765685,0,4/1/2010 22:43,4/1/2010 22:50,Saved,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,New Hampshire,Concord,1022_terms,,3,4,3,4,3,,3,3,4,4,4,4,,,4,3,3,,4,4,,,2,3,,,,,,,,,,,,
76772796,0,4/1/2010 23:21,4/1/2010 23:36,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Massachusetts,Brighton,1022_terms,3,2,1,4,3,3,4,4,1,3,2,3,4,3,4,2,2,2,4,1,3,1,1,2,3,10,15,25,50,,red,,,,24,,76772796
76786410,0,4/2/2010 0:49,4/2/2010 0:58,Submitted,,,United States,Georgia,Decatur,1022_terms,3,3,3,3,3,3,2,3,3,3,4,3,3,3,4,3,4,2,4,3,3,3,1,2,3,25,25,25,25,,,green,black,,16,,76786410
76795186,0,4/2/2010 1:54,4/2/2010 2:02,Saved,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,North Carolina,Greensboro,1022_terms,2,3,3,2,1,2,1,2,2,3,3,3,3,3,2,2,3,2,3,3,2,2,2,2,2,30,10,10,50,,,,,blue,4,,
76801537,0,4/2/2010 2:36,4/2/2010 2:43,Submitted,,,United States,Florida,Orlando,1022_terms,2,1,3,4,1,4,3,4,1,3,3,4,4,3,4,3,3,2,2,1,4,1,1,1,3,15,20,25,40,,,green,black,,4,,76801537
76804517,0,4/2/2010 2:54,4/2/2010 3:01,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Colorado,Colorado Springs,1022_terms,4,3,3,4,3,4,3,4,3,3,4,3,4,4,4,3,4,2,3,3,3,3,2,2,3,30,20,20,30,,,green,black,,16,,76804517
76888920,0,4/2/2010 9:55,4/2/2010 10:12,Submitted,,,United States,Florida,Saint Petersburg,1022_terms,3,3,3,3,3,3,3,4,4,3,4,4,4,3,4,3,4,3,3,4,3,3,2,2,3,26,20,20,34,,,green,black,,16,,76888920
76945081,0,4/2/2010 13:29,4/2/2010 13:42,Submitted,,,United States,Indiana,Goshen,1022_terms,3,2,3,4,2,4,3,4,2,3,4,3,3,3,4,4,4,3,3,2,3,2,1,3,3,25,25,25,25,,,green,black,,16,,76945081
76952904,0,4/2/2010 13:57,4/2/2010 14:19,Submitted,,,United States,Michigan,Ann Arbor,1022_terms,3,1,2,2,2,4,3,4,1,3,3,2,3,3,4,4,3,3,4,2,3,2,1,2,3,10,20,30,40,,,green,black,,16,,76952904
76964096,0,4/2/2010 14:41,4/2/2010 15:07,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Missouri,Columbia,1022_terms,4,2,3,3,3,3,3,4,3,4,4,4,4,4,4,4,4,3,4,3,3,2,1,2,4,5,25,30,40,,,green,black,,16,no,76964096
77008785,0,4/2/2010 18:24,4/2/2010 18:39,Submitted,,,United States,New Jersey,Blackwood,1022_terms,3,2,3,2,2,2,2,3,3,3,4,3,3,2,4,2,3,3,3,4,2,2,2,2,3,18,32,20,30,,,green,black,,4,,77008785
77025230,0,4/2/2010 20:32,4/2/2010 20:38,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Kentucky,Henderson,1022_terms,3,2,3,3,3,3,2,4,2,4,4,3,3,3,4,3,4,3,3,2,2,2,1,1,2,20,25,25,30,,,green,black,,16,,77025230
77045195,0,4/3/2010 0:41,4/3/2010 0:49,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,California,San Bernardino,1022_terms,4,1,2,3,2,4,3,4,1,3,3,3,4,3,4,4,3,3,3,1,2,2,1,2,3,10,25,25,40,,,green,black,,8 years,,77045195
77089255,0,4/3/2010 10:28,4/3/2010 10:33,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,California,San Jose,1022_terms,4,3,4,3,3,3,2,4,3,4,4,4,3,4,4,4,3,3,4,4,3,3,2,2,4,25,25,25,25,,,green,,,16,,77089255
77125077,0,4/3/2010 15:33,4/3/2010 15:46,Submitted,,,United States,Michigan,Warren,1022_terms,3,2,3,3,3,3,3,3,1,3,4,4,4,4,4,3,4,3,4,3,3,2,2,2,3,15,25,30,30,,,,,blue,16,,77125077
77127548,0,4/3/2010 15:56,4/3/2010 16:14,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Minnesota,Minneapolis,1022_terms,3,2,3,3,2,4,3,4,2,4,3,3,4,3,4,4,3,3,4,1,3,2,2,3,3,10,25,25,50,,,green,black,,10,,77127548
77134247,0,4/3/2010 17:01,4/3/2010 17:34,Submitted,,,United States,Utah,Ogden,1022_terms,4,2,3,4,3,2,3,4,2,4,4,4,3,4,4,4,4,3,4,3,3,3,1,1,3,20,20,25,35,,,green,black,,16,,77134247
77147744,0,4/3/2010 19:45,4/3/2010 20:50,Saved,,,United States,,,1022_terms,,,,,,2,,,,,,,2,,3,,,,,,,,,,,,,,,,,,,,,,
77157470,0,4/3/2010 22:22,4/3/2010 23:08,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Indiana,Fort Wayne,1022_terms,4,2,3,2,4,3,3,4,3,3,4,4,3,3,4,3,4,2,4,4,2,1,2,1,3,25,25,25,25,,,green,black,,16,Thanks.,77157470
77158897,0,4/3/2010 22:48,4/3/2010 23:30,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Iowa,Marion,1022_terms,4,2,3,3,4,4,3,4,3,3,4,4,4,3,4,4,4,3,4,4,3,3,2,1,3,15,15,30,40,,,green,black,,16,It was an interesting survey. Good basis for measuring the effect of term limits.,77158897
77162415,0,4/3/2010 23:50,4/4/2010 0:07,Saved,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Florida,Sarasota,1022_terms,,,2,,1,4,,4,1,3,3,2,,4,,,,4,2,,,,,3,,,,,,,,,,,,,
77162963,0,4/4/2010 0:00,4/4/2010 0:10,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Connecticut,Willimantic,1022_terms,4,3,4,4,3,3,3,4,3,3,4,3,4,3,4,3,4,3,4,3,3,3,2,2,3,10,30,30,40,,,green,black,,16,"I would present less graphs, they all start looking very similar",77162963
77166249,0,4/4/2010 1:09,4/4/2010 1:18,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Georgia,Milledgeville,1022_terms,4,2,3,2,3,4,2,3,3,4,4,3,3,2,4,4,4,3,3,3,2,2,1,1,2,20,20,20,40,,,green,black,,16,,77166249
77166487,0,4/4/2010 1:15,4/4/2010 1:24,Submitted,,,United States,Florida,Jacksonville,1022_terms,4,2,3,3,3,4,3,4,3,3,4,3,3,3,4,4,3,3,4,4,3,3,1,2,3,30,20,20,30,,,green,black,,16,,77166487
77167501,0,4/4/2010 1:36,4/4/2010 1:44,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Nevada,Las Vegas,1022_terms,2,1,2,2,3,2,2,3,2,2,3,3,2,2,4,2,2,1,2,3,2,2,1,2,2,25,20,20,35,,,green,black,,16,Thank You for giving me the chance to participate in your survey!,77167501
77168694,0,4/4/2010 1:58,4/4/2010 2:03,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Texas,Austin,1022_terms,3,2,3,2,3,4,3,3,4,3,4,3,3,3,4,3,4,3,4,4,3,2,1,1,3,25,25,25,25,,,green,black,,16,,77168694
77168760,0,4/4/2010 1:59,4/4/2010 2:05,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Georgia,Atlanta,1022_terms,3,1,2,3,2,3,3,3,2,3,3,2,3,3,4,3,3,3,3,1,2,1,2,3,3,5,10,10,75,,,green,black,,16,,77168760
77170477,0,4/4/2010 2:32,4/4/2010 2:35,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Pennsylvania,Lancaster,1022_terms,4,4,1,3,2,2,3,2,2,3,2,1,3,4,3,4,2,2,4,2,3,1,1,4,3,25,25,25,25,,,green,black,,8,,77170477
77171619,0,4/4/2010 2:54,4/4/2010 3:01,Submitted,,,United States,Virginia,Topping,1022_terms,3,1,1,4,1,4,3,4,1,3,2,1,4,3,4,4,3,4,1,1,3,1,2,3,3,10,5,5,85,,,green,black,,16,,77171619
77176067,0,4/4/2010 3:51,4/4/2010 3:56,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,New York,Victor,1022_terms,3,1,2,1,3,3,2,3,2,3,3,3,2,2,4,3,3,2,4,3,2,1,1,1,2,15,25,30,30,,,green,black,,16,,77176067
77176864,0,4/4/2010 4:01,4/4/2010 4:09,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Maryland,College Park,1022_terms,3,1,3,3,3,3,2,4,3,4,4,4,3,4,4,4,3,2,4,3,3,2,1,3,3,20,30,30,20,,,green,black,,16,"I'm unsure how long a governor's term is for. Is it 4 years? I put in 16 years for the last question assuming this, but I'm unsure if it's 2 years for governors.",77176864
77201920,0,4/4/2010 8:12,4/4/2010 8:18,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,South Carolina,Summerville,1022_terms,3,1,2,4,2,4,4,4,1,2,3,3,4,4,4,3,3,4,3,3,3,3,1,2,3,25,15,40,20,,,green,black,,16,Very interesting,77201920
77210315,0,4/4/2010 9:15,4/4/2010 9:20,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Florida,Eglin Afb,1022_terms,2,1,2,3,1,4,3,4,1,3,1,2,4,3,3,3,2,3,2,1,2,1,1,3,2,20,15,15,50,,,,,blue,16,,77210315
77221490,8385790,4/4/2010 10:36,4/4/2010 10:40,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Louisiana,Lafayette,1022_terms,4,3,4,3,3,3,3,4,3,4,4,4,3,4,4,4,3,3,4,4,3,3,2,2,4,25,25,25,25,,,green,black,,16,,77221490
77222651,16274628,4/4/2010 10:45,4/4/2010 11:00,Submitted,,,United States,,,1022_terms,4,1,2,4,1,4,3,4,1,3,4,2,4,3,4,4,3,2,2,2,3,1,1,2,3,20,30,20,30,,,green,black,,4,,77222651
77241906,0,4/4/2010 13:14,4/4/2010 13:24,Submitted,,,United States,North Carolina,Huntersville,1022_terms,3,1,3,2,2,3,2,3,2,3,3,3,3,2,4,3,3,2,3,3,2,1,1,2,4,20,20,30,30,,,green,black,,16,,77241906
77242051,0,4/4/2010 13:15,4/4/2010 13:24,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,Venezuela,Zulia,Maracaibo,1022_terms,4,1,1,4,2,4,4,4,1,3,2,2,4,4,4,4,4,4,2,1,3,2,2,3,3,25,25,25,25,,,,,blue,1,,77242051
77242052,0,4/4/2010 13:15,4/4/2010 13:24,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Nevada,Las Vegas,1022_terms,3,1,2,3,3,3,2,4,1,2,3,2,4,3,4,2,3,2,3,1,3,1,1,2,2,25,25,25,25,pink,,,,,16,,77242052
77242825,0,4/4/2010 13:21,4/4/2010 13:31,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,California,Sacramento,1022_terms,4,2,3,4,2,4,3,4,3,4,4,4,4,3,4,4,4,3,4,4,3,2,2,2,4,25,25,25,25,,,green,black,,16,Frequently governors have little influence or control   on how well business does during their terms.  The current economic situation in the United States is a good example of how larger trends can affect the individual state economies.,77242825
77243019,0,4/4/2010 13:22,4/4/2010 13:29,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Pennsylvania,Corry,1022_terms,4,3,3,4,4,3,4,4,3,2,3,2,4,3,4,4,4,3,3,4,3,3,2,2,4,20,20,35,25,,,,,blue,16,,77243019
77248362,0,4/4/2010 14:04,4/4/2010 14:08,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Maryland,Silver Spring,1022_terms,4,3,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,4,4,3,3,2,2,4,25,25,25,25,,,green,black,,1,,77248362
77251286,0,4/4/2010 14:29,4/4/2010 14:37,Saved,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,Canada,British Columbia,Victoria,1022_terms,3,1,2,4,1,4,3,4,1,3,2,3,4,4,4,4,4,4,2,1,2,1,1,3,3,19,13,27,41,,red,,,,4,,
77252427,0,4/4/2010 14:39,4/4/2010 14:49,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Rhode Island,Johnston,1022_terms,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,20,20,30,30,,,green,black,,4,,77252427
77254541,0,4/4/2010 14:57,4/4/2010 14:58,Saved,,,United States,Minnesota,Lakeville,1022_terms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77255347,0,4/4/2010 15:03,4/4/2010 15:14,Submitted,,,United States,Illinois,Chicago,1022_terms,3,1,1,4,2,4,4,4,1,3,1,3,4,3,4,3,2,3,2,1,4,1,2,3,3,23,23,23,31,,,green,black,,16,,77255347
77262977,0,4/4/2010 16:06,4/4/2010 16:17,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Washington,Puyallup,1022_terms,4,2,4,3,4,3,3,4,3,3,4,4,4,3,4,4,4,3,4,3,3,2,2,2,3,20,25,25,30,,,green,black,,16,,77262977
