Response ID,RespondantKey,Date Started,Date Finished,Status,Linked From,Comments,Country,Region,City,,econ_1949,econ_1953,econ_1957,econ_1961,econ_1965,econ_1969,econ_1973,econ_1977,econ_1981,econ_1985,econ_1989,econ_1993,econ_1997,econ_2001,econ_2005,econ_2009,econ_2013,econ_2017,econ_2021,econ_2025,econ_2029,econ_2033,econ_2037,econ_2041,econ_2045,Year 1,Year 2,Year 3,Year 4,pink,red,green,white,black,blue,,
76295071,0,3/31/2010 22:13,3/31/2010 22:25,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Mississippi,Saucier,1022_years,3,2,3,3,3,4,3,4,2,4,4,4,4,3,4,3,4,3,4,3,3,2,2,2,3,20,20,29,31,,,green,,black,,,76295071
76305462,0,3/31/2010 22:55,3/31/2010 23:11,Submitted,,,United States,,,1022_years,4,2,3,2,3,3,3,4,3,3,3,4,3,3,4,3,4,2,3,3,2,2,2,1,3,25,25,25,25,,,green,,black,,I thought many of the questions were similar and hard to judge which would leave people better off.,76305462
76307004,0,3/31/2010 23:02,3/31/2010 23:14,Saved,,,United States,,,1022_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76361933,0,4/1/2010 3:24,4/1/2010 3:34,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Oklahoma,Tulsa,1022_years,3,1,3,3,3,4,3,4,3,4,3,4,4,4,4,3,4,3,4,3,3,2,1,2,3,10,25,25,40,,,green,,black,,,76361933
76460518,0,4/1/2010 9:39,4/1/2010 9:47,Submitted,,,United States,California,San Diego,1022_years,4,2,3,3,3,3,2,4,2,4,3,4,4,4,4,4,3,3,4,3,3,3,2,2,3,25,25,25,25,,,green,,black,,,76460518
76468296,0,4/1/2010 9:59,4/1/2010 10:08,Submitted,,,United States,Massachusetts,Boston,1022_years,2,2,2,4,2,2,3,4,2,2,3,3,2,3,4,1,3,3,3,1,2,2,1,1,1,10,50,30,10,,,green,,black,,,76468296
76517011,0,4/1/2010 11:46,4/1/2010 12:09,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Ohio,Dayton,1022_years,4,3,3,3,4,3,3,4,3,3,4,4,3,3,4,3,4,3,4,4,3,2,2,2,3,25,25,25,25,,,green,,black,,"In general, I called terms with mostly increases good and terms with mostly decreases poor.",76517011
76519511,0,4/1/2010 11:51,4/1/2010 12:07,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Ohio,Holland,1022_years,2,2,2,4,3,3,3,4,3,3,4,3,4,3,4,3,4,2,4,2,3,3,1,2,3,25,25,25,25,,red,,,,,,76519511
76524861,0,4/1/2010 12:01,4/1/2010 12:12,Submitted,,,United States,Pennsylvania,Perkasie,1022_years,3,2,1,4,3,4,4,4,1,3,3,4,4,4,4,4,3,4,2,1,4,1,2,3,3,25,25,25,25,,,green,,black,,,76524861
76536672,0,4/1/2010 12:22,4/1/2010 12:53,Saved,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Ohio,Hamilton,1022_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76590805,0,4/1/2010 14:07,4/1/2010 14:19,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,California,Sacramento,1022_years,3,1,3,3,1,3,2,3,2,3,3,3,2,3,4,3,2,2,3,1,3,2,2,1,3,25,25,25,25,,,green,,black,,,76590805
76636138,0,4/1/2010 15:37,4/1/2010 15:49,Submitted,,,United States,Oklahoma,Oklahoma City,1022_years,4,1,3,3,2,4,4,4,2,3,4,2,4,4,4,4,4,4,3,1,3,2,1,3,3,15,15,40,30,,,green,,black,,None.,76636138
76642005,0,4/1/2010 15:49,4/1/2010 16:00,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,California,Alameda,1022_years,2,1,2,2,2,3,2,3,1,3,3,2,3,3,4,3,3,2,3,2,2,1,1,2,2,15,20,30,35,,,green,,black,,,76642005
76646995,0,4/1/2010 15:59,4/1/2010 16:03,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,California,Del Mar,1022_years,3,3,3,4,3,4,3,4,3,3,3,3,4,3,4,3,4,3,4,3,3,2,2,2,3,20,20,20,40,,,green,,black,,,76646995
76681072,0,4/1/2010 17:14,4/1/2010 17:24,Submitted,,,United States,North Carolina,Charlotte,1022_years,3,2,3,3,3,3,3,3,3,3,4,3,3,3,4,3,4,3,3,4,3,2,2,2,3,25,25,25,25,,,green,,black,,,76681072
76702839,0,4/1/2010 18:14,4/1/2010 18:37,Submitted,,,United States,Florida,Tampa,1022_years,3,2,2,3,1,3,3,4,1,3,2,4,3,2,4,3,3,4,2,1,2,2,1,3,3,10,20,30,40,,,green,,black,,Very interesting.  Made me think about long range economic goals vs. short range goals.,76702839
76748410,0,4/1/2010 21:17,4/1/2010 21:46,Submitted,,,United States,Arizona,Tempe,1022_years,3,2,2,4,2,4,3,4,1,3,3,3,4,3,3,3,3,3,2,1,3,2,2,2,3,20,10,30,40,,,green,,black,,Thank you!,76748410
76749100,0,4/1/2010 21:21,4/1/2010 21:35,Submitted,,,United States,Virginia,Grundy,1022_years,3,2,3,4,2,3,3,4,2,3,3,3,3,3,4,3,3,3,3,1,3,1,1,3,2,10,10,20,60,,,green,,black,,,76749100
76756273,14726435,4/1/2010 21:55,4/1/2010 22:11,Submitted,,,United States,Virginia,Richmond,1022_years,2,1,2,3,2,3,2,3,2,2,3,2,2,2,3,3,3,1,2,2,2,1,1,1,2,15,20,25,40,,,green,,black,,I am curious as to what the findings of this survey would be.,76756273
76761021,0,4/1/2010 22:19,4/1/2010 22:29,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Georgia,Alpharetta,1022_years,4,3,3,3,3,3,3,4,3,3,3,4,3,3,4,4,4,3,4,4,3,3,2,2,3,20,30,25,25,,,green,,black,,,76761021
76766852,0,4/1/2010 22:49,4/1/2010 23:03,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,New Hampshire,Concord,1022_years,3,2,3,3,4,4,2,4,3,3,3,4,3,3,4,3,4,2,4,4,3,3,2,2,3,10,20,30,40,,,green,,black,,,76766852
76770480,0,4/1/2010 23:08,4/1/2010 23:19,Submitted,,,United States,District of Columbia,Washington,1022_years,3,2,2,3,1,3,3,4,1,4,3,3,4,4,4,3,3,2,4,1,3,2,1,1,3,10,25,30,35,,,green,,black,,Interesting.  Happy to participate.,76770480
76778675,0,4/1/2010 23:55,4/2/2010 0:19,Submitted,,,United States,New Jersey,Clementon,1022_years,4,4,3,2,3,2,2,2,1,3,4,2,3,2,4,3,3,1,1,2,2,4,1,1,2,35,35,10,20,,,green,,,,Quick and easy to use!,76778675
76780082,0,4/2/2010 0:05,4/2/2010 0:16,Submitted,,,United States,Missouri,Kansas City,1022_years,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,2,1,4,25,25,25,25,,,green,,black,,,76780082
76787307,0,4/2/2010 0:56,4/2/2010 0:58,Saved,,,United States,Tennessee,Cleveland,1022_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76795417,0,4/2/2010 1:56,4/2/2010 2:00,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,"Korea, Republic of",Soul-t'ukpyolsi,Seoul,1022_years,3,3,3,3,3,3,3,3,3,3,4,4,4,3,4,3,4,3,3,3,3,3,2,2,3,25,25,25,25,,,green,,black,,,76795417
76868372,0,4/2/2010 8:33,4/2/2010 8:53,Submitted,,,United States,,,1022_years,3,1,1,4,1,4,3,4,1,2,2,1,4,3,4,3,2,3,1,1,2,1,1,1,2,25,25,25,25,,,green,,black,,,76868372
76889915,0,4/2/2010 9:58,4/2/2010 10:01,Saved,,,United States,North Carolina,Mooresville,1022_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76914188,0,4/2/2010 11:31,4/2/2010 11:49,Saved,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,South Carolina,Due West,1022_years,3,1,3,3,2,3,3,4,2,4,3,3,4,3,4,3,3,3,3,2,3,2,2,2,3,10,10,20,60,,,,,,blue,,
76925448,0,4/2/2010 12:14,4/2/2010 12:33,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Kansas,Olathe,1022_years,3,3,3,3,1,3,3,4,1,2,3,3,4,3,2,4,4,2,3,1,3,2,2,1,4,20,20,25,35,,,green,,black,,,76925448
76950762,0,4/2/2010 13:49,4/2/2010 14:22,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,Canada,Ontario,Toronto,1022_years,3,2,4,2,3,3,2,3,3,4,3,3,3,3,4,3,3,2,4,3,3,2,2,2,3,10,20,30,40,,,green,,black,,,76950762
76966811,0,4/2/2010 14:55,4/2/2010 15:06,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Minnesota,Minneapolis,1022_years,3,1,1,4,1,4,4,4,1,4,2,2,4,4,4,4,4,4,4,1,4,1,1,3,2,25,25,25,25,,,green,,black,,I enjoyed it. Thanks for the opportunity.,76966811
76981414,0,4/2/2010 16:09,4/2/2010 16:17,Saved,,,United States,Pennsylvania,Mckeesport,1022_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76982389,0,4/2/2010 16:13,4/2/2010 16:24,Submitted,,,United States,,,1022_years,3,3,4,4,3,4,3,4,2,3,4,3,3,4,4,3,3,3,4,2,2,3,1,2,4,10,35,35,20,,,green,,black,,,76982389
77030933,0,4/2/2010 21:36,4/2/2010 21:42,Submitted,,,United States,California,Long Beach,1022_years,4,2,4,2,3,3,2,4,1,3,4,3,3,3,4,4,3,2,4,1,3,1,1,1,3,10,15,15,60,,,green,,black,,,77030933
77032558,0,4/2/2010 21:55,4/2/2010 22:06,Submitted,,,United States,Tennessee,Etowah,1022_years,3,1,1,3,1,4,3,4,1,2,2,2,4,3,3,3,3,3,2,1,3,1,2,2,2,30,10,10,50,,,green,,black,,,77032558
77057330,0,4/3/2010 3:54,4/3/2010 3:56,Saved,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,Canada,Ontario,Waterloo,1022_years,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
77057374,0,4/3/2010 3:55,4/3/2010 3:57,Saved,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,Canada,Ontario,Waterloo,1022_years,,,,,,,2,,,4,,,3,,4,3,,,,,,,1,,,,,,,,,,,,,,
77060394,0,4/3/2010 4:43,4/3/2010 4:47,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,New Hampshire,Derry,1022_years,3,2,3,3,3,3,3,4,3,3,4,3,4,4,4,4,4,3,4,4,2,2,2,2,3,15,20,25,40,,,green,,black,,,77060394
77060472,0,4/3/2010 4:44,4/3/2010 4:47,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Texas,Carrollton,1022_years,3,3,3,2,4,4,3,4,3,3,4,4,4,3,4,4,4,3,4,4,2,3,3,2,3,15,15,30,40,,,green,,black,,na,77060472
77074411,0,4/3/2010 7:54,4/3/2010 7:59,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Wisconsin,De Pere,1022_years,4,2,3,3,3,3,3,3,3,3,4,4,3,3,4,3,4,2,4,4,3,3,1,2,3,25,25,25,25,,,green,,black,,,77074411
77103206,0,4/3/2010 12:32,4/3/2010 12:38,Submitted,,,United States,South Dakota,Watertown,1022_years,3,2,3,4,3,4,2,3,2,2,3,3,3,2,4,2,3,2,3,3,3,1,2,1,2,10,10,30,50,pink,,,,,,,77103206
77109659,0,4/3/2010 13:32,4/3/2010 13:41,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,Hong Kong,,Yuen Long,1022_years,2,1,2,1,4,3,2,3,3,3,3,3,2,3,4,3,3,2,3,3,2,1,1,4,2,50,20,15,15,,,,,,blue,,77109659
77112254,0,4/3/2010 13:56,4/3/2010 13:57,Saved,,,United States,Florida,Orlando,1022_years,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
77122169,0,4/3/2010 15:16,4/3/2010 15:22,Submitted,,,United States,Indiana,South Bend,1022_years,2,3,2,2,4,3,3,2,2,2,2,3,3,3,4,2,4,1,3,3,3,3,2,3,2,30,10,25,35,,,green,,black,,,77122169
77123517,0,4/3/2010 15:24,4/3/2010 15:39,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,New York,Orchard Park,1022_years,2,2,3,3,3,2,3,4,3,2,2,3,3,2,4,2,3,1,4,1,1,2,1,4,2,50,20,20,10,,,,,,blue,,77123517
77126682,0,4/3/2010 15:48,4/3/2010 16:17,Submitted,,,United States,West Virginia,Morgantown,1022_years,3,1,2,3,1,3,2,3,1,3,3,2,3,2,4,3,3,3,2,1,2,1,1,2,2,10,10,30,50,,,green,,black,,,77126682
77144763,0,4/3/2010 19:03,4/3/2010 19:22,Submitted,,,United States,New Jersey,Medford,1022_years,3,1,3,2,2,2,2,3,1,2,4,3,3,3,4,3,3,2,3,1,2,1,1,1,2,15,25,25,35,,,green,,black,,,77144763
77158791,0,4/3/2010 22:46,4/3/2010 23:33,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Connecticut,Naugatuck,1022_years,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,20,20,20,40,,,,,,blue,,77158791
77159179,0,4/3/2010 22:52,4/3/2010 23:28,Submitted,,,United States,Missouri,Jefferson City,1022_years,3,2,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,2,3,3,2,2,1,2,3,25,15,35,25,,,,,,blue,Very interesting. Thank you.,77159179
77159489,0,4/3/2010 22:58,4/3/2010 23:25,Submitted,,,United States,North Carolina,Charlotte,1022_years,4,3,3,4,4,4,4,4,3,4,4,4,4,3,4,4,4,3,3,3,3,3,2,2,4,25,25,25,25,,,green,,black,,"kinda intersting, but a bit confusing. had to really look at the side scale verses the bottom scale after reading the question. Maybe put the question at the top and leave the answers at the bottom next time to help break up the look",77159489
77161034,0,4/3/2010 23:25,4/3/2010 23:40,Submitted,,,United States,North Carolina,Charlotte,1022_years,3,2,3,3,3,3,3,3,3,3,4,3,3,3,4,4,3,2,4,4,3,2,1,2,3,25,25,25,25,,,green,,black,,,77161034
77161370,0,4/3/2010 23:31,4/3/2010 23:47,Submitted,,,United States,Iowa,Conrad,1022_years,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,3,4,25,25,25,25,,,green,,black,,,77161370
77163482,0,4/4/2010 0:11,4/4/2010 0:18,Submitted,,,United States,Arizona,Sierra Vista,1022_years,2,4,4,4,2,4,4,4,2,3,3,2,4,4,4,1,4,4,3,1,2,4,1,2,3,25,25,25,25,pink,,,,,,,77163482
77166120,0,4/4/2010 1:06,4/4/2010 1:12,Submitted,,,United States,Nevada,Reno,1022_years,3,2,3,3,3,3,3,4,3,4,4,3,3,3,4,3,4,3,4,4,2,2,1,2,3,25,25,25,25,,,green,,black,,,77166120
77166418,0,4/4/2010 1:13,4/4/2010 1:21,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Texas,San Antonio,1022_years,4,3,4,2,3,3,3,4,4,3,4,4,3,3,4,3,3,3,4,3,4,3,2,2,3,25,25,25,25,,,green,,black,,,77166418
77185174,0,4/4/2010 5:29,4/4/2010 5:36,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,California,Palmdale,1022_years,3,1,2,4,2,4,4,4,1,3,2,2,4,4,4,4,4,3,2,1,2,2,1,2,3,25,25,25,25,,,,,,blue,,77185174
77238214,0,4/4/2010 12:44,4/4/2010 12:51,Saved,,,United States,Florida,Orlando,1022_years,2,1,2,3,1,3,2,3,1,2,3,2,2,3,1,3,3,3,2,1,2,1,1,2,3,25,25,25,25,,,,,,blue,,
