Response ID,RespondantKey,Date Started,Date Finished,Status,Linked From,Comments,Country,Region,City,,econ_1949,econ_1953,econ_1957,econ_1961,econ_1965,econ_1969,econ_1973,econ_1977,econ_1981,econ_1985,econ_1989,econ_1993,econ_1997,econ_2001,econ_2005,econ_2009,econ_2013,econ_2017,econ_2021,econ_2025,econ_2029,econ_2033,econ_2037,econ_2041,econ_2045,Year 1,Year 2,Year 3,Year 4,pink,green,black,blue,,,
80093502,0,4/14/2010 11:42,4/14/2010 12:19,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Illinois,Chicago,1028a,3,2,3,2,3,3,3,4,3,2,3,3,3,4,4,3,3,2,3,3,2,2,2,4,2,20,20,20,40,,green,black,,second term,,80093502
80094027,0,4/14/2010 11:42,4/14/2010 12:04,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Colorado,Colorado Springs,1028a,4,2,3,1,4,3,2,4,2,4,2,4,4,4,4,2,3,2,3,3,2,3,3,4,2,10,10,30,50,,green,black,,second term,,80094027
80095742,0,4/14/2010 11:45,4/14/2010 12:18,Submitted,,,United States,Tennessee,Clinton,1028a,4,3,4,3,3,4,3,4,3,4,3,4,4,4,4,2,4,3,4,3,3,2,3,4,2,25,25,25,25,,green,black,,second term,,80095742
80095966,0,4/14/2010 11:45,4/14/2010 12:18,Submitted,,,United States,Pennsylvania,West Chester,1028a,3,1,2,1,2,3,2,3,2,2,2,2,2,3,2,2,2,2,3,2,2,2,2,2,2,25,25,25,25,,green,black,,second term,,80095966
80096986,0,4/14/2010 11:47,4/14/2010 12:17,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Pennsylvania,Coal Center,1028a,3,1,2,3,1,2,1,4,1,3,3,1,2,4,4,2,2,1,1,1,1,1,1,3,2,30,20,20,30,,green,black,,second term,None today.,80096986
80100293,0,4/14/2010 11:51,4/14/2010 12:20,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,Serbia,,Belgrade,1028a,4,3,3,2,4,4,3,4,4,3,3,3,4,4,4,3,4,3,3,3,3,3,3,4,4,25,25,25,25,,green,black,,second term,,80100293
80102177,0,4/14/2010 11:53,4/14/2010 12:19,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Pennsylvania,Bernville,1028a,3,2,3,2,3,3,2,3,3,3,3,3,4,4,3,3,3,2,3,3,3,3,3,3,2,1,1,1,1,,green,black,,second term,,80102177
80102255,0,4/14/2010 11:54,4/14/2010 12:47,Saved,,,United States,Pennsylvania,Highspire,1028a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80102843,0,4/14/2010 11:54,4/14/2010 12:19,Submitted,,,United Arab Emirates,Abu Zaby,Abu Dhabi,1028a,4,2,3,1,3,3,2,4,2,3,2,3,3,4,4,3,3,2,3,3,2,2,3,3,2,35,27,23,15,,green,black,,second term,"Interesting survey, curious if the figures were actuals or hypotheticals.",80102843
80104587,0,4/14/2010 11:57,4/14/2010 12:18,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Ohio,North Olmsted,1028a,2,2,2,3,2,3,2,4,2,3,1,2,4,4,4,3,2,2,1,2,2,2,3,4,2,40,10,10,40,,green,black,,second term,I enjoyed the survey,80104587
80105130,0,4/14/2010 11:58,4/14/2010 12:08,Submitted,,,United States,Pennsylvania,Philadelphia,1028a,3,2,3,2,3,3,3,4,2,4,2,3,3,4,4,2,3,2,3,3,2,3,3,4,3,15,20,25,40,,green,black,,second term,,80105130
80105563,0,4/14/2010 11:58,4/14/2010 12:17,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Texas,Sugar Land,1028a,3,3,3,2,3,3,3,4,3,3,3,3,4,4,4,3,3,2,3,3,2,3,3,4,2,20,20,25,35,,green,black,,second term,these are interesting surveys,80105563
80108322,0,4/14/2010 12:02,4/14/2010 12:34,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,California,San Francisco,1028a,3,2,3,3,3,3,3,4,3,3,3,3,3,4,4,3,3,3,3,3,2,3,3,3,2,15,15,35,35,,green,black,,second term,,80108322
80109783,14726435,4/14/2010 12:04,4/14/2010 12:13,Submitted,,,United States,Virginia,Richmond,1028a,2,1,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,1,1,1,1,2,2,2,2,15,20,30,35,,green,black,,second term,,80109783
80109803,0,4/14/2010 12:04,4/14/2010 12:13,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United Kingdom,Leeds,Leeds,1028a,3,2,3,2,3,4,3,4,3,4,3,3,3,4,4,3,3,3,2,3,2,3,3,3,2,25,25,25,25,,green,black,,second term,,80109803
80111061,0,4/14/2010 12:06,4/14/2010 12:26,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Wisconsin,Madison,1028a,2,2,2,3,2,3,2,4,2,3,2,3,3,4,4,2,2,2,2,2,2,2,2,3,2,20,25,25,30,,green,black,,second term,"No comments, everything was very clear.",80111061
80111074,0,4/14/2010 12:06,4/14/2010 12:32,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,,,1028a,2,2,1,3,3,2,2,4,2,2,2,3,3,4,3,3,1,2,2,1,2,2,2,2,2,0,25,25,50,,green,black,,second term,,80111074
80112157,0,4/14/2010 12:08,4/14/2010 12:12,Submitted,,,United States,Pennsylvania,Newville,1028a,4,3,3,3,4,4,3,4,3,4,3,4,4,3,4,3,3,3,3,3,2,3,4,4,3,25,25,25,25,,green,black,,second term,,80112157
80112830,0,4/14/2010 12:09,4/14/2010 12:30,Submitted,,,United States,California,San Diego,1028a,4,2,4,2,4,4,3,4,3,4,3,4,4,4,4,3,3,2,3,3,2,3,4,4,3,25,25,25,25,,green,black,,second term,,80112830
80113164,0,4/14/2010 12:10,4/14/2010 13:41,Saved,,,United States,Arkansas,Little Rock,1028a,,,,,,3,,1,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,
80114201,0,4/14/2010 12:12,4/14/2010 12:43,Saved,http://pro22.sgizmo.com/survey.php?SURVEY=JKUCPWV049U9ZD98XKS4ZG0VVUQNXP-277581-80111074&pswsgt=1271258990&sg_r=http%3A%2F%2Fweb.mit.edu%2F%7Eglenz%2FPublic%2Fplots%2Fagreement.htm&sg_g=094b730c6f2344c37fc15e40ab35b253&_csg=34bReZo.2Ymy.&notice=DO-NOT-DIS,,United States,,,1028a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80120554,0,4/14/2010 12:22,4/14/2010 12:46,Submitted,,,United States,Nebraska,Grand Island,1028a,4,3,3,2,3,3,4,3,3,4,3,4,4,4,4,3,4,2,3,3,2,3,4,3,2,25,25,25,25,,green,black,,second term,,80120554
80122268,0,4/14/2010 12:25,4/14/2010 12:43,Submitted,,,United States,Virginia,Roanoke,1028a,2,3,2,3,3,2,3,4,3,2,2,3,3,4,4,3,2,2,3,2,2,2,3,4,2,10,20,30,40,,green,black,,second term,trends and inflation count as much as actual year by year numbers,80122268
80148271,0,4/14/2010 13:05,4/14/2010 13:20,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,New York,New York,1028a,2,1,3,3,3,2,2,4,2,3,2,2,3,4,4,3,2,2,3,2,1,2,3,4,1,40,10,10,40,,green,black,,second term,,80148271
80150763,0,4/14/2010 13:12,4/14/2010 13:21,Saved,http://app.sgizmo.com/survey_promote.php?id=277581,,United States,Massachusetts,Cambridge,1028a,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,25,25,25,25,,,,blue,third term,,
80179697,0,4/14/2010 14:37,4/14/2010 17:13,Saved,,,United States,New York,New York,1028a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80212193,0,4/14/2010 16:11,4/14/2010 16:30,Submitted,,,United States,Virginia,Grundy,1028a,2,3,3,3,3,3,3,4,2,3,2,2,3,3,4,2,3,2,3,3,1,1,3,3,2,5,15,30,50,,green,black,,second term,,80212193
80226022,0,4/14/2010 16:58,4/14/2010 17:19,Submitted,,,United States,Wisconsin,Cazenovia,1028a,4,1,2,1,2,2,2,4,2,2,2,2,3,4,3,2,2,2,3,2,1,2,2,3,1,20,20,20,40,,,,blue,second term,,80226022
80227724,0,4/14/2010 17:04,4/14/2010 17:18,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,California,Los Angeles,1028a,2,1,2,3,2,3,3,4,2,3,1,1,3,3,3,3,2,2,2,2,2,2,3,3,3,20,25,25,30,,green,black,,second term,,80227724
80238862,0,4/14/2010 17:50,4/14/2010 18:08,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Massachusetts,Cambridge,1028a,4,3,3,2,3,3,3,4,3,4,3,3,3,4,4,3,3,3,3,3,3,3,3,4,3,25,25,25,25,pink,,,,second term,,80238862
80241435,0,4/14/2010 18:02,4/14/2010 18:13,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,California,Ukiah,1028a,2,3,3,2,3,3,2,4,3,3,1,3,3,4,4,3,3,2,2,2,2,2,3,4,3,10,20,30,40,,green,black,,second term,,80241435
80241738,0,4/14/2010 18:04,4/14/2010 18:10,Submitted,,,United States,Oregon,Roseburg,1028a,3,2,2,2,2,3,2,4,2,3,2,2,2,4,4,1,3,1,2,3,1,2,3,3,1,25,25,25,25,,green,black,,second term,,80241738
80253482,0,4/14/2010 19:14,4/14/2010 19:41,Submitted,,,United States,Tennessee,Etowah,1028a,1,2,1,3,2,2,2,4,1,2,1,2,3,3,4,1,1,1,1,1,1,1,1,3,2,40,10,10,40,,green,black,,third term,,80253482
80254470,0,4/14/2010 19:21,4/14/2010 19:54,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Maryland,Silver Spring,1028a,3,2,3,2,3,3,2,4,2,4,2,3,3,4,3,3,3,2,3,3,1,2,3,3,2,20,30,30,20,,green,black,,second term,"None, please",80254470
80257704,0,4/14/2010 19:44,4/14/2010 19:56,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,North Carolina,Fuquay Varina,1028a,4,1,3,1,1,3,2,3,3,4,1,1,2,3,3,1,4,1,2,2,2,4,2,2,4,0,100,0,0,,green,black,,second term,No comments.,80257704
80257789,0,4/14/2010 19:44,4/14/2010 19:59,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Iowa,Iowa City,1028a,3,2,3,3,3,3,3,4,3,3,2,3,3,3,3,2,3,2,3,3,2,2,3,2,2,25,25,25,25,,,,blue,second term,,80257789
80260717,0,4/14/2010 20:06,4/14/2010 20:14,Submitted,,,United States,Georgia,Decatur,1028a,4,2,3,2,2,3,3,3,2,3,2,3,3,4,4,2,3,2,3,3,2,2,2,3,2,25,25,25,25,,green,black,,second term,,80260717
80261194,0,4/14/2010 20:09,4/14/2010 20:20,Submitted,,,United States,Michigan,Ann Arbor,1028a,4,1,3,1,1,3,2,2,3,4,1,1,2,3,2,1,3,1,1,2,2,3,2,2,3,11,15,30,44,,green,black,,second term,,80261194
80261287,0,4/14/2010 20:09,4/14/2010 20:29,Submitted,,,United States,Georgia,Decatur,1028a,3,2,3,2,2,3,2,3,2,3,2,3,3,4,4,2,3,2,3,3,2,2,3,3,2,25,25,25,25,,green,black,,second term,,80261287
80261499,0,4/14/2010 20:10,4/14/2010 20:28,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Michigan,Milford,1028a,4,3,3,2,4,4,4,4,4,4,3,4,3,4,4,4,3,3,3,3,2,3,4,3,3,25,25,25,25,,green,black,,second term,,80261499
80264000,0,4/14/2010 20:29,4/14/2010 20:40,Submitted,,,United States,Florida,Cape Coral,1028a,4,2,4,1,4,4,4,4,4,4,2,4,4,4,4,4,4,2,1,4,2,4,4,4,4,25,25,25,25,,green,black,,second term,,80264000
80268667,0,4/14/2010 21:05,4/14/2010 21:21,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,"Korea, Republic of",Soul-t'ukpyolsi,Seoul,1028a,4,2,3,2,3,3,2,4,3,3,3,3,3,4,4,3,3,2,3,3,2,3,3,3,3,25,25,25,25,,green,black,,second term,,80268667
80268831,0,4/14/2010 21:06,4/14/2010 21:29,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Georgia,Decatur,1028a,4,2,3,2,3,3,3,4,3,3,3,4,3,4,4,3,3,2,4,3,3,3,3,4,2,30,20,20,30,,green,black,,second term,,80268831
80275719,0,4/14/2010 22:01,4/14/2010 22:12,Submitted,,,United States,South Dakota,Watertown,1028a,3,2,3,1,2,3,2,4,2,3,1,3,2,4,4,2,3,3,2,3,2,2,3,2,1,25,25,25,25,,green,black,,first term,,80275719
80276023,0,4/14/2010 22:03,4/14/2010 22:11,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,New Hampshire,Concord,1028a,4,3,4,3,4,4,3,4,3,4,3,4,4,4,4,4,4,3,3,3,3,3,4,4,2,15,15,30,40,,green,black,,second term,interesting!,80276023
80282678,0,4/14/2010 22:54,4/14/2010 23:06,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Texas,Groves,1028a,3,3,2,2,3,4,3,4,2,4,2,2,4,4,4,2,3,3,2,3,2,2,3,4,2,15,20,25,40,,,,blue,second term,,80282678
80285606,0,4/14/2010 23:18,4/14/2010 23:30,Submitted,,,United States,Ohio,Middlefield,1028a,2,2,1,3,2,2,2,4,1,3,1,2,3,4,4,3,1,1,2,1,1,1,1,4,1,5,10,15,75,,green,black,,second term,,80285606
80287754,0,4/14/2010 23:38,4/14/2010 23:49,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Oregon,Portland,1028a,3,2,3,3,3,4,3,4,2,4,3,3,3,4,4,2,3,2,3,3,3,2,3,2,1,25,25,25,25,,green,,,second term,,80287754
80287835,0,4/14/2010 23:38,4/14/2010 23:53,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Ohio,Cleveland,1028a,4,3,3,2,3,4,3,3,4,4,3,4,4,4,4,3,3,3,3,3,3,4,4,4,3,25,25,25,25,,green,black,,second term,,80287835
80288343,0,4/14/2010 23:43,4/14/2010 23:52,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Tennessee,Nashville,1028a,3,2,3,2,3,3,2,3,2,3,3,3,3,4,3,3,3,2,3,3,2,2,3,3,2,25,25,25,25,,green,black,,second term,,80288343
80289766,0,4/14/2010 23:56,4/15/2010 0:07,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Texas,Dallas,1028a,3,2,3,2,3,3,3,3,3,3,2,2,3,4,4,3,3,2,4,3,2,3,3,4,2,20,25,25,30,,green,black,,second term,,80289766
80292585,0,4/15/2010 0:20,4/15/2010 0:33,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,California,Winchester,1028a,2,2,3,2,3,3,3,4,3,3,1,3,3,4,4,3,1,1,2,2,1,2,2,3,2,10,20,40,30,,green,black,,second term,,80292585
80299937,0,4/15/2010 1:21,4/15/2010 1:39,Submitted,,,United States,California,Riverside,1028a,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,3,2,3,2,2,2,2,3,2,25,25,25,25,,green,black,,second term,,80299937
80301433,0,4/15/2010 1:33,4/15/2010 1:46,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,California,Santa Barbara,1028a,3,3,3,3,3,3,3,4,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,4,3,15,20,25,40,,green,black,,second term,,80301433
80303976,0,4/15/2010 1:52,4/15/2010 2:37,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Minnesota,Bemidji,1028a,3,3,2,3,3,3,3,4,2,3,2,3,3,4,4,3,2,2,3,2,2,2,3,4,2,25,25,25,25,,green,black,,second term,,80303976
80309220,0,4/15/2010 2:26,4/15/2010 2:50,Submitted,,,United States,Oregon,Roseburg,1028a,2,2,2,2,1,2,2,4,2,3,2,3,3,4,3,2,2,1,2,2,2,1,2,3,1,20,25,30,25,,green,black,,second term,,80309220
80328701,0,4/15/2010 4:20,4/15/2010 4:58,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,Belgium,Antwerpen,Wilrijk,1028a,2,2,2,3,3,3,2,4,3,4,1,2,3,4,4,2,2,2,4,2,2,3,2,3,2,10,20,30,40,,green,black,,second term,no,80328701
80333645,0,4/15/2010 4:49,4/15/2010 6:02,Submitted,,,South Africa,,Cape Town,1028a,4,2,3,2,3,4,3,4,4,4,2,3,4,4,4,3,3,2,3,3,3,3,4,4,3,25,25,25,25,,green,black,,second term,,80333645
80372680,0,4/15/2010 7:41,4/15/2010 7:48,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Virginia,Charlottesville,1028a,4,3,2,3,3,4,4,4,4,4,3,3,4,4,4,3,3,2,3,3,2,2,3,4,2,25,25,25,25,,green,black,,first term,,80372680
80383448,0,4/15/2010 8:29,4/15/2010 8:43,Submitted,http://web.mit.edu/~glenz/Public/plots/agreement.htm,,United States,Pennsylvania,Manheim,1028a,4,3,3,3,4,3,4,4,3,4,2,3,4,3,4,3,2,3,3,3,3,3,2,4,1,20,20,30,30,,green,black,,second term,"I looked at trends as well as year-by-year, so question about weighting years wasn't all that helpful.",80383448
80397614,0,4/15/2010 9:20,4/15/2010 9:29,Submitted,,,United States,California,San Diego,1028a,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,25,25,25,25,,green,black,,second term,,80397614
80403101,0,4/15/2010 9:41,4/15/2010 10:05,Submitted,,,United States,Ohio,Perrysburg,1028a,4,3,3,2,3,4,3,4,3,4,4,4,4,4,4,3,3,3,2,3,2,3,3,4,3,25,25,25,25,,green,black,,second term,none,80403101
80489394,0,4/15/2010 15:58,4/15/2010 16:11,Submitted,,,United States,Indiana,Jeffersonville,1028a,3,2,3,2,2,3,3,4,2,3,1,2,3,3,4,2,3,2,3,3,2,3,3,3,3,25,25,25,25,,green,black,,second term,,80489394
80498600,0,4/15/2010 16:42,4/15/2010 17:03,Submitted,,,United States,,,1028a,4,1,2,1,3,2,2,4,2,3,3,3,3,4,4,3,2,1,3,2,1,2,2,3,2,30,25,20,25,,green,black,,second term,,80498600
